INFO 2021-08-04 16:21:36,845 autoreload 7476 13048 Watching for file changes with StatReloader
DEBUG 2021-08-04 16:21:36,846 autoreload 7476 13048 Waiting for apps ready_event.
DEBUG 2021-08-04 16:21:37,388 autoreload 7476 13048 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2021-08-04 16:21:37,400 autoreload 7476 13048 Watching dir C:\Dev\Django36\risklibraryTesting\riskLibrary3\locale with glob **/*.mo.
DEBUG 2021-08-04 16:21:37,416 autoreload 7476 13048 Watching dir C:\Dev\Django36\risklibraryTesting\Env\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
DEBUG 2021-08-04 16:21:37,432 autoreload 7476 13048 Watching dir C:\Dev\Django36\risklibraryTesting\Env\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
DEBUG 2021-08-04 16:21:37,448 autoreload 7476 13048 Watching dir C:\Dev\Django36\risklibraryTesting\Env\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
DEBUG 2021-08-04 16:21:37,460 autoreload 7476 13048 Watching dir C:\Dev\Django36\risklibraryTesting\Env\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
DEBUG 2021-08-04 16:21:37,460 autoreload 7476 13048 Watching dir C:\Dev\Django36\risklibraryTesting\Env\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
DEBUG 2021-08-04 16:21:37,461 autoreload 7476 13048 Watching dir C:\Dev\Django36\risklibraryTesting\Env\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
DEBUG 2021-08-04 16:21:37,461 autoreload 7476 13048 Watching dir C:\Dev\Django36\risklibraryTesting\riskLibrary3\account\locale with glob **/*.mo.
DEBUG 2021-08-04 16:21:37,461 autoreload 7476 13048 Watching dir C:\Dev\Django36\risklibraryTesting\riskLibrary3\library\locale with glob **/*.mo.
DEBUG 2021-08-04 16:21:37,461 autoreload 7476 13048 Watching dir C:\Dev\Django36\risklibraryTesting\Env\lib\site-packages\django_seed\locale with glob **/*.mo.
DEBUG 2021-08-04 16:21:37,635 utils 7476 4420 (0.010) 
            SELECT c.relname,
            CASE WHEN c.relispartition THEN 'p' WHEN c.relkind IN ('m', 'v') THEN 'v' ELSE 't' END
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None
DEBUG 2021-08-04 16:21:37,640 utils 7476 4420 (0.002) SELECT "django_migrations"."app", "django_migrations"."name" FROM "django_migrations"; args=()
DEBUG 2021-08-04 16:21:37,730 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\numpy\lib\shape_base.py first seen with mtime 1627007939.7742233
DEBUG 2021-08-04 16:21:37,730 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\openpyxl\chart\descriptors.py first seen with mtime 1627467671.327077
DEBUG 2021-08-04 16:21:37,730 autoreload 7476 13048 File C:\Users\a\AppData\Local\Programs\Python\Python38\Lib\difflib.py first seen with mtime 1608548818.0
DEBUG 2021-08-04 16:21:37,730 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\openpyxl\chart\marker.py first seen with mtime 1627467671.334071
DEBUG 2021-08-04 16:21:37,730 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1614145014.3838122
DEBUG 2021-08-04 16:21:37,730 autoreload 7476 13048 File C:\Users\a\AppData\Local\Programs\Python\Python38\Lib\http\cookies.py first seen with mtime 1608548818.0
DEBUG 2021-08-04 16:21:37,731 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1614145013.9853399
DEBUG 2021-08-04 16:21:37,731 autoreload 7476 13048 File C:\Users\a\AppData\Local\Programs\Python\Python38\Lib\xml\__init__.py first seen with mtime 1608548820.0
DEBUG 2021-08-04 16:21:37,731 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\django\utils\inspect.py first seen with mtime 1614145018.3489878
DEBUG 2021-08-04 16:21:37,731 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\openpyxl\formula\__init__.py first seen with mtime 1627467671.4223897
DEBUG 2021-08-04 16:21:37,731 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1614145018.15115
DEBUG 2021-08-04 16:21:37,731 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\openpyxl\styles\stylesheet.py first seen with mtime 1627467671.5066435
DEBUG 2021-08-04 16:21:37,732 autoreload 7476 13048 File C:\Users\a\AppData\Local\Programs\Python\Python38\Lib\calendar.py first seen with mtime 1608548818.0
DEBUG 2021-08-04 16:21:37,732 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\numpy\core\_multiarray_umath.cp38-win_amd64.pyd first seen with mtime 1627007937.0731494
DEBUG 2021-08-04 16:21:37,732 autoreload 7476 13048 File C:\Users\a\AppData\Local\Programs\Python\Python38\Lib\logging\config.py first seen with mtime 1608548818.0
DEBUG 2021-08-04 16:21:37,732 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1614145010.3032048
DEBUG 2021-08-04 16:21:37,732 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\numpy\core\records.py first seen with mtime 1627007937.1560123
DEBUG 2021-08-04 16:21:37,732 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\numpy\polynomial\polyutils.py first seen with mtime 1627007939.9371743
DEBUG 2021-08-04 16:21:37,732 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\django\views\generic\list.py first seen with mtime 1614145018.403939
DEBUG 2021-08-04 16:21:37,733 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\django\db\models\manager.py first seen with mtime 1614145018.1251662
DEBUG 2021-08-04 16:21:37,733 autoreload 7476 13048 File C:\Users\a\AppData\Local\Programs\Python\Python38\Lib\email\parser.py first seen with mtime 1608548818.0
DEBUG 2021-08-04 16:21:37,733 autoreload 7476 13048 File C:\Dev\Django36\risklibraryTesting\Env\Lib\site-packages\openpyxl\reader\__init__.py first seen with mtime 1627467671.477662
